,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,state,city,neighbourhood
0,0,229.0,Foothill Blvd at 42nd Ave,37.7757452,-122.2130372,California,Oakland,Melrose
1,1,4.0,Cyril Magnin St at Ellis St,37.7858806269,-122.4089150084,California,San Francisco,Union Square
2,2,245.0,Downtown Berkeley BART,37.870139,-122.268422,California,Berkeley,Downtown Berkeley
3,3,85.0,Church St at Duboce Ave,37.7700831,-122.4291557,California,San Francisco,Western Addition
4,4,16.0,Steuart St at Market St,37.79413,-122.39443,California,San Francisco,Financial District
5,6,34.0,Father Alfred E Boeddeker Park,37.7839879,-122.412408,California,San Francisco,Tenderloin
6,7,318.0,San Carlos St at Market St,37.330698,-121.888979,California,San Jose,SoFA
7,8,29.0,O'Farrell St at Divisadero St,37.7824046019,-122.4394458532,California,San Francisco,Western Addition
8,9,223.0,16th St Mission BART Station 2,37.7647652155,-122.420091033,California,San Francisco,Mission District
9,10,378.0,Empire St at 7th St,37.3477445655,-121.8907999992,California,San Jose,Hensley Historic District
10,11,266.0,Parker St at Fulton St,37.8624644,-122.2647911,California,Berkeley,LeConte
11,12,349.0,Howard St at Mary St,37.7810097172,-122.4056661129,California,San Francisco,West SoMa
12,13,77.0,11th St at Natoma St,37.7735069,-122.4160402,California,San Francisco,Civic Center
13,14,312.0,San Jose Diridon Station,37.329732,-121.901782,California,San Jose,Little Italy
14,15,41.0,Golden Gate Ave at Polk St,37.78127,-122.41874,California,San Francisco,Civic Center
15,16,305.0,Ryland Park,37.342725,-121.895617,California,San Jose,Hensley Historic District
16,17,81.0,Berry St at 4th St,37.77588,-122.39317,California,San Francisco,South Beach
17,18,370.0,Jones St at Post St,37.7873267661,-122.4132782221,California,San Francisco,Tenderloin
18,19,121.0,Mission Playground,37.7592103,-122.4213392,California,San Francisco,Mission District
19,20,25.0,Howard St at 2nd St,37.7875217805,-122.3974049091,California,San Francisco,Transbay
20,21,95.0,Sanchez St at 15th St,37.7662185,-122.4310597,California,San Francisco,Duboce Triangle
21,22,3.0,Powell St BART Station (Market St at 4th St),37.7863752686,-122.4049043655,California,San Francisco,Union Square
22,23,201.0,10th St at Fallon St,37.7976728,-122.2629973,California,Oakland,Civic Center
23,26,115.0,Jackson Playground,37.7650259,-122.3987734,California,San Francisco,Potrero Hill
24,27,364.0,China Basin St at 3rd St,37.7719996,-122.3899698,California,San Francisco,Mission Bay
25,28,18.0,Telegraph Ave at Alcatraz Ave,37.8502218745,-122.2601723671,California,Oakland,
26,29,86.0,Market St at Dolores St,37.7693053,-122.4268256,California,San Francisco,Duboce Triangle
27,32,17.0,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086,California,San Francisco,Financial District
28,33,244.0,Shattuck Ave at Hearst Ave,37.8736762146,-122.268487215,California,Berkeley,Downtown Berkeley
29,34,78.0,Folsom St at 9th St,37.7737172,-122.4116467,California,San Francisco,West SoMa
30,35,278.0,The Alameda at Bush St,37.3319323,-121.9048882,California,San Jose,Little Italy
